id;name;register_number;phone;email;address;city;zip_code;state;country;local;complete_address
1;Cliente 1;05533520586545;(40) 3401-5150;cliente1@example.com;Rua Tiradentes, 926;Pinhais;54289891;PR;Brasil;Pinhais - PR - Brasil;Rua Tiradentes, 926, Pinhais - PR - Brasil
2;Cliente 2;61776869155;(56) 4159-1288;cliente2@example.com;Rua Tiradentes, 645;Londrina;38512465;PR;Brasil;Londrina - PR - Brasil;Rua Tiradentes, 645, Londrina - PR - Brasil
3;Cliente 3;49673738036;(58) 1754-9916;cliente3@example.com;Avenida Brasil, 612;Colombo;83603862;PR;Brasil;Colombo - PR - Brasil;Avenida Brasil, 612, Colombo - PR - Brasil
4;Cliente 4;25088129389;(57) 3961-6581;cliente4@example.com;Avenida Brasil, 833;Pinhais;13934914;PR;Brasil;Pinhais - PR - Brasil;Avenida Brasil, 833, Pinhais - PR - Brasil
5;Cliente 5;44825940568;(25) 8624-4927;cliente5@example.com;Rua XV de Novembro, 676;Pinhais;16725112;PR;Brasil;Pinhais - PR - Brasil;Rua XV de Novembro, 676, Pinhais - PR - Brasil
6;Cliente 6;47627119053;(75) 3151-1305;cliente6@example.com;Rua das Hortansias, 653;Foz do Iguacu;27215579;PR;Brasil;Foz do Iguacu - PR - Brasil;Rua das Hortansias, 653, Foz do Iguacu - PR - Brasil
7;Cliente 7;70148700000000;(53) 2075-1487;cliente7@example.com;Rua das Hortansias, 441;Foz do Iguacu;28706241;PR;Brasil;Foz do Iguacu - PR - Brasil;Rua das Hortansias, 441, Foz do Iguacu - PR - Brasil
8;Cliente 8;49706000000000;(46) 7810-2203;cliente8@example.com;Rua Tiradentes, 110;Cascavel;13136297;PR;Brasil;Cascavel - PR - Brasil;Rua Tiradentes, 110, Cascavel - PR - Brasil
9;Cliente 9;60599884310;(30) 9277-5934;cliente9@example.com;Rua das Flores, 915;Maringa;1789191;PR;Brasil;Maringa - PR - Brasil;Rua das Flores, 915, Maringa - PR - Brasil
10;Cliente 10;49910000000000;(40) 2868-6877;cliente10@example.com;Rua das Hortansias, 22;Ponta Grossa;80278029;PR;Brasil;Ponta Grossa - PR - Brasil;Rua das Hortansias, 22, Ponta Grossa - PR - Brasil
11;Cliente 11;23443079319;(57) 8097-4243;cliente11@example.com;Rua das Palmeiras, 9;Cascavel;51878833;PR;Brasil;Cascavel - PR - Brasil;Rua das Palmeiras, 9, Cascavel - PR - Brasil
12;Cliente 12;34493300000000;(65) 6307-6756;cliente12@example.com;Avenida Brasil, 99;Araucaria;49173667;PR;Brasil;Araucaria - PR - Brasil;Avenida Brasil, 99, Araucaria - PR - Brasil
13;Cliente 13;20057497083;(77) 3204-7308;cliente13@example.com;Rua das Flores, 417;Ponta Grossa;39707075;PR;Brasil;Ponta Grossa - PR - Brasil;Rua das Flores, 417, Ponta Grossa - PR - Brasil
